article_id,claim_id,claim_rank,claim_text,claim_category,speaker,organization,verdict,verdict_explanation,needs_review
043902b3c15aa603,043902b3c15aa603:C01,1,"The US government stated that a new immigration rule is necessary to curb “visa abuse"" by limiting the duration of stay for foreign students and exchange visitors in the country.",government_position,US government,,unresolved,No primary source evidence provided for this claim about the US government stating the necessity of the new rule to curb visa abuse by limiting duration of stay for foreign students and exchange visitors.,True
043902b3c15aa603,043902b3c15aa603:C06,2,"If finalised, the rule would require students to undergo periodic reviews by DHS to extend their stay.",policy,,Department of Homeland Security,unresolved,No primary source evidence provided regarding the requirement for periodic DHS reviews to extend student stays in this document.,True
043902b3c15aa603,043902b3c15aa603:C02,3,"The new proposal would grant admission for the length of a student’s program, up to a maximum of four years.",policy,,Department of Homeland Security,supported,"The regulatory text and agency explanations confirm that under the proposal, F-1 and J-1 nonimmigrants are admitted for the length of their program as specified on Form I-20 or DS-2019, up to a maximum of 4 years.",False
043902b3c15aa603,043902b3c15aa603:C03,4,The rule is designed to prevent individuals from remaining in the US indefinitely under student status.,government_position,US officials,,supported,"The proposed rule replaces duration of status (D/S) with fixed admission periods, limiting the time individuals can remain and requiring extensions via USCIS, indicating a design to prevent indefinite stay under student status.",False
043902b3c15aa603,043902b3c15aa603:C04,5,"Past Administrations have allowed foreign students and other visa holders to remain in the US virtually indefinitely, posing safety risks, costing untold amounts of taxpayer dollars, and disadvantaging U.S. citizens.",government_position,DHS spokesperson,Department of Homeland Security,supported,"The evidence shows that past practice allowed students to remain in F status for decades under D/S by continuously extending program dates, raising DHS concerns about indefinite stay and related risks.",False
043902b3c15aa603,043902b3c15aa603:C05,6,"This new proposed rule would end that abuse once and for all by limiting the amount of time certain visa holders are allowed to remain in the US, easing the burden on the federal government to properly oversee foreign students and history.",government_position,DHS spokesperson,Department of Homeland Security,supported,"The proposed rule ends 'duration of status' admission in favor of fixed periods and requires adjudicator oversight to monitor extensions, easing federal oversight burdens and preventing abuse as stated.",False
5ac3f396d3af9b42,5ac3f396d3af9b42:C01,1,"The proposed rule outlines new duration limits for F-1 students, with a maximum stay of four years, which includes optional practical training (OPT), and a reduced grace period of just 30 days.",policy,,,partially_supported,"The proposed rule decreases the grace period for F-1 students after their studies or OPT from 60 days to 30 days (proposed:III.B/p16). F-1 students are admitted for the program length up to a maximum of 4 years (proposed:8 CFR 214.2/p3) and may be granted extensions not exceeding 4 years (proposed:8 CFR 214.2/p37). However, transitioning F students maintaining status on the specified date keep a 60-day departure period, so the 30-day period is not absolute for all students already in the US (proposed:8 CFR 214.1/p31). Therefore, the claim about maximum stay of four years including OPT and a reduced grace period to 30 days is mostly supported but incomplete due to transition rules.",True
5ac3f396d3af9b42,5ac3f396d3af9b42:C07,2,Graduate students could not change their program or level of study at all.,policy,,,partially_supported,"The proposal prohibits graduate-level F-1 students from changing programs at any point during their program (proposed:III.B/p13, 8 CFR 214.2/p10). However, the final rule clarifies that transfers remain possible with SEVP exceptions for extenuating circumstances, which was not explicitly stated in the proposal (change_from_proposed). Thus, the claim that graduate students could not change their program or level of study at all is partially supported since transfers with exceptions are allowed.",True
5ac3f396d3af9b42,5ac3f396d3af9b42:C08,3,"Students who travel while an extension request is pending may face complications as travel could be considered abandonment of their extension request, risking delays or denials.",policy,,,partially_supported,"The rule states students must timely respond to Requests for Evidence (RFE) even if traveling while extension requests are pending, and failure to respond may lead to denial for abandonment (proposed:V.C/p10). However, DHS declined to adopt a blanket policy that traveling while EOS is pending constitutes abandonment for J nonimmigrants (proposed:V.F.iii/p5). Therefore, the claim that students who travel while an extension request is pending may face complications such as abandonment is partially supported but not absolute.",True
5ac3f396d3af9b42,5ac3f396d3af9b42:C13,4,"The proposed changes could have significant implications for US higher education institutions, which have long relied on international students.",interpretation,,,partially_supported,"The proposed changes restrict graduate students from changing programs, and require that new programs be at higher educational levels after completing prior programs, which could impact international students' educational paths. However, the evidence does not explicitly discuss the broader implications for US higher education institutions, so the claim about significant implications is reasonably inferred but not fully established by the supplied evidence.",True
