article_id,viewpoint_id,speaker,organization,stance,affected_provision,reason,source_quote
043902b3c15aa603,043902b3c15aa603:V01,Miriam Feldblum,Presidents’ Alliance,support,limiting the duration of stay to conform to the academic program,International students deserve assurance that their admission period will conform to the requirements of their academic programs and they are already closely monitored.,"International students deserve assurance that their admission period to the U.S. will conform to the requirements of their academic programs,"" said Miriam Feldblum, president and CEO of the Presidents’ Alliance, which represents more than 500 college and university leaders."
043902b3c15aa603,043902b3c15aa603:V02,Miriam Feldblum,Presidents’ Alliance,support,rigorous oversight of international students,They already represent the most closely monitored population in the U.S. and are subject to rigorous oversight by DHS and academic institutions.,They already represent the most closely monitored population in the U.S. and are subject to rigorous oversight by DHS and academic institutions.
043902b3c15aa603,043902b3c15aa603:V03,Fanta Aw,NAFSA: Association of International Educators,oppose,the proposed rule limiting duration of stay for foreign students,"It will act as an additional deterrent to international students choosing to study in the United States, harming American economies, innovation, and global competitiveness.","It will certainly act as an additional deterrent to international students choosing to study in the United States, to the detriment of American economies, innovation, and global competitiveness,"" Aw said."
6ef49be7ff558976,6ef49be7ff558976:V01,Educators,,oppose,new rule limiting international students to fixed periods of entry,fewer international students will come to America,"Educators warn that if Trump officials finalize the rule, fewer international students will come to America."
2359f21b8ccc125e,2359f21b8ccc125e:V01,Nishidhar Reddy Borra,Atlas Consultancy,support,the rule limiting students to complete one full year at their initial institution before transferring,"such practices of transferring to smaller, lower-cost schools after initial admission with higher fees will be permanently curtailed","He added that such practices will now be permanently curtailed, as per The Hindu."
ea2038472c019f65,ea2038472c019f65:V01,American Sociological Association,American Sociological Association,oppose,DHS proposed rule to eliminate Duration of Status and replace it with fixed four-year periods,"It would create devastating barriers for international PhD students, force costly annual visa renewals, create bureaucratic hurdles, and harm academic progress and the international reputation of universities.",The ASA letter states that the proposed rule would create devastating barriers for international PhD students in sociology and other social science disciplines.
ea2038472c019f65,ea2038472c019f65:V02,American Sociological Association,American Sociological Association,oppose,DHS proposed rule to eliminate Duration of Status and replace it with fixed four-year periods,It is particularly harmful to the social sciences that rely on diverse global perspectives to address worldwide social problems.,"ASA argues this approach is particularly harmful to the social sciences, where exposure to diverse global perspectives is essential for addressing worldwide social problems."
09b09e28efee3db8,09b09e28efee3db8:V01,American Council on Education (ACE) and 53 other higher-education associations,American Council on Education (ACE) and 53 other higher-education associations,oppose,the proposed rule that replaces D/S policy with fixed four-year visa terms,"the rule is flawed, tries to address problems that do not exist, and would severely restrict opportunities of international students and discourage them from choosing the US",called the rule “flawed” and said it tries to address problems that do not exist
09b09e28efee3db8,09b09e28efee3db8:V02,"Miriam Feldblum, president and CEO of the Presidents’ Alliance",Presidents’ Alliance on Higher Education and Immigration,oppose,the proposed rule,"it would cause significant harm to students and institutions, and likely dissuade international students, researchers, and scholars, harming institutions, businesses, communities, and economy","“If implemented, this rule would cause significant harm to students and institutions … and likely dissuade international students, researchers, and scholars from coming to the United States, with damaging consequences for institutions, small businesses, local communities, and the broader economy,” said Miriam Feldblum"
09b09e28efee3db8,09b09e28efee3db8:V03,educational experts,,oppose,the new restrictions in the proposed rule,"the new restrictions could accelerate declines in international enrollment, raise tuition for domestic students, and undermine US competitiveness","Educational experts warn that the new restrictions could accelerate recent declines in international enrollment, raising tuition for domestic students and undermining US competitiveness"
09b09e28efee3db8,09b09e28efee3db8:V04,American Council on Education (ACE) and the Presidents’ Alliance,American Council on Education and Presidents’ Alliance,oppose,the proposed rule,they urge DHS to withdraw the rule and engage stakeholders to address concerns without jeopardizing US appeal as a destination for global talent,Both ACE and the Presidents’ Alliance urged DHS to withdraw the rule entirely and engage directly with higher-education stakeholders to address any legitimate concerns without jeopardizing the United States’ long-standing appeal as a premier destination for global talent
21b8f78374b09148,21b8f78374b09148:V01,Trump administration,,support,measure intended to strengthen oversight of temporary visa holders and enhance national security,to strengthen oversight of temporary visa holders and enhance national security,The Trump administration said the measure is intended to strengthen oversight of temporary visa holders and enhance national security
