claim_id,evidence_rank,citation,evidence_type,source_url,evidence_excerpt
043902b3c15aa603:C02,1,8 CFR 214.2(f)(5)(i),regulatory_text,,"(5) Period of Stay--(i) General. An F-1 student is admitted for a fixed period of time, which is the period necessary to complete the course of study indicated on the Form I-20, or successor form, not to exceed a period of 4 years, plus additional times noted in this paragraph. A continuing F-1 student may be granted additional time following the completion of studies to engage in post-completion optional practical training (OPT) and Science Technology Engineering and Mathematics (STEM) OPT, as described in paragraph (f)(5)(i)(D) of this section. An F-1 student described in this section may be admitted for a period of up to 30 days before the indicated report date or program start date listed on Form I-20 or successor form. An alien described in this paragraph may remain in the United States for an additional 30 days as provided in paragraph (f)(5)(v) of this section. The 30-day period before the indicated report date or program start date and 30 additional days following the program end date or the 4-year maximum period of admission do not count toward the maximum length of stay. The admission periods described in this paragraph are subject to the following exceptions:"
043902b3c15aa603:C02,2,8 CFR 214.2(j)(1)(ii)(A),regulatory_text,,"(ii) Admission period and period of stay. (A) J-1 exchange visitor. A J-1 exchange visitor may be admitted for the duration of the exchange visitor program, as stated by the program end date noted on Form DS-2019 or successor form, not to exceed a period of 4 years."
043902b3c15aa603:C02,3,8 CFR 214.2(f)(7)(i),regulatory_text,,"(i) Eligibility. USCIS may grant an extension of stay to an F-1 student who has maintained his or her F-1 status, but who is unable to complete his or her program by the end of his or her authorized period of admission. Such student may be eligible for an extension if the designated school official issues a new Form I-20 or successor form certifying that the student is eligible under this paragraph. An F-1 student may be granted an extension if it is established that the student:"
043902b3c15aa603:C02,4,90 FR 42094,agency_explanation,,"The length of the extension granted could be up to the period of time needed to complete the program or requested practical training, not to exceed 4 years, unless the alien is a border commuter, enrolled in language training, or attending a public high school, in which case further restrictions apply, as described above. By permitting admission only ""up to"" the prescribed period, USCIS and CBP are afforded discretion as to the ultimate length of time to grant the applicant and consider factors such as program length."
043902b3c15aa603:C02,5,90 FR 42081,agency_explanation,,"Under this proposal, aliens applying for admission in either F or J status who, under this proposal, would be eligible to be admitted for a maximum period of 4 years or the length of program as specified on Form I-20 or DS-2019, whichever is shorter, or the end date of the approved employment authorization for post-completion OPT and Science Technology Engineering and Mathematics (STEM) OPT, as applicable, plus additional 30 day periods for arrival and a 30-day period to prepare for departure or to otherwise seek to obtain lawful authorization to remain in the United States. See proposed 8 CFR 214.1(a)(4)(i) through (iii); and 8 CFR 214.2(f)(5) and (j)(1)(ii)."
043902b3c15aa603:C03,1,8 CFR 214.1(m)(1),regulatory_text,,"(1) Transition from duration of status admission to a fixed admission period for aliens properly maintaining F and J status on [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE]. Aliens with F or J status who are properly maintaining their status on [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE] and who were admitted for duration of status are authorized to remain in the United States in F or J nonimmigrant status until the later date of either the expiration date on an Employment Authorization Document, Form I-766, or successor form or the program end date noted on their Form I-20 or Form DS-2019, as applicable, not to exceed a period of 4 years from [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE], plus the departure period of 60 days for F nonimmigrants, which is [DHS WILL INSERT DATE 4 YEARS AND 120 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE], and 30 days for J nonimmigrants, which is [DHS WILL INSERT DATE 4 YEARS AND 90 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE]. Subject to 8 CFR 274a.14, any authorized employment or training continues until the program end date on such F or J nonimmigrant's Form I-20 or DS-2019, as applicable and as endorsed by the designated school official or responsible officer for employment or training, or expiration date on the alien's Employment Authorization Document, Form I-766, or successor form. Aliens who need additional time to complete their current program of study, including requests for post-completion optional practical training (OPT) and Science Technology Engineering and Mathematics (STEM) OPT, or exchange visitor program, including academic training, or would like to start a new program of study or exchange visitor program must apply for an extension of stay with USCIS in accordance with paragraph (c)(2) of this section for an admission period to a fixed date."
043902b3c15aa603:C03,2,90 FR 42073,agency_explanation,,Requiring any nonimmigrant who has completed a program at one educational level to only be allowed to begin another program at a higher educational level while in F-1 status and prohibiting a change to the same or a lower educational level while in F-1 status;
043902b3c15aa603:C03,3,90 FR 42072,agency_explanation,,"Striking all references to D/S for F, J, and I nonimmigrants;"
043902b3c15aa603:C03,4,90 FR 42098–42099,agency_explanation,,"In order to be granted I classification, an alien would need to meet his or her burden of proof to establish eligibility for admission in that nonimmigrant classification. DHS believes that evidence presented by such individuals to establish employment as a bona fide representative of foreign press, radio, film or other journalistic information media should be provided in a letter from the employing foreign media organization verifying the employment, the work to be performed, and the remuneration involved. See proposed 8 CFR 214.2(i)(2). This evidence would provide a standard basis for DHS to evaluate whether the applicant intends to comply with the I classification and only engage in the regular gathering, production or dissemination via print, radio, television, internet distribution or other media of journalistic information and represents, as an employee or under contract, an organization with an office in a foreign country. For example, such a letter would be able to describe the content that the foreign information media representative is covering in the United States, which must be primarily journalistic information in nature, such as the reporting on recent or important events, investigative reporting, or producing educational materials, such as documentaries. Foreign media organizations would be able to describe how the content is primarily designed to provide information rather than entertainment, such as scripted or contrived situations, such as most ""reality television"" shows, which do not qualify an individual for admission under the I nonimmigrant classification.[^142]"
043902b3c15aa603:C03,5,90 FR 42080,agency_explanation,,"Admitting most I nonimmigrants for D/S affords them different treatment from most other nonimmigrants, who are admitted for a specified period of time. The Department believes admitting aliens temporarily in the United States for a fixed period would strengthen vetting and information collection and help immigration officers ensure that the I nonimmigrants are, and will be, engaged in activities that are permissible under INA 101(a)(15)(I). In addition, this rulemaking proposes to require individuals who wish to remain in I nonimmigrant status beyond the end date for their authorized stay to apply for an EOS with USCIS, at which point immigration officers can review their activities in the United States. It also clarifies what DHS would require these individuals to present as evidence supporting their EOS request.[^86]"
043902b3c15aa603:C04,1,8 CFR 214.2(i)(3)(ii),regulatory_text,,"(ii) Foreign nationals travelling on a passport issued by the People's Republic of China (with the exception of Hong Kong Special Administrative Region passport holders and Macau Special Administrative Region passport holders). An alien who presents a passport from the People's Republic of China (with the exception of Hong Kong Special Administrative Region passport holders and Macau Special Administrative Region passport holders), may be admitted until the activities or assignments consistent with the I classification are completed, not to exceed 90 days."
