article_id,title,article_url,publisher_domain,seen_at,publisher_country,policy_stage,grounding_score,analysis_status,policy_claims_total,policy_claims_scored,supported_claims,partially_supported_claims,contradicted_claims,unresolved_claims,claims_needing_review
043902b3c15aa603,US Plans To End  Visa Abuse  By Limiting How Long Foreign Students Can Study In Country | World News,https://www.news18.com/world/us-plans-to-end-visa-abuse-by-limiting-how-long-foreign-students-can-study-in-country-9532943.html,news18.com,2025-08-28T03:15:00Z,India,proposed_rule,100.0,scored,6,4,4,0,0,2,2
5ac3f396d3af9b42,New visa proposal could create more uncertainty for Indian students in the US ; Here how,https://www.businesstoday.in/nri/visa/story/new-visa-proposal-could-create-more-uncertainty-for-indian-students-in-the-us-heres-how-491469-2025-08-28,businesstoday.in,2025-08-28T12:15:00Z,India,proposed_rule,82.1,scored,11,11,7,4,0,0,7
6ef49be7ff558976,Trump Deals A New Immigration Blow To International Students,https://www.forbes.com/sites/stuartanderson/2025/08/28/trump-deals-a-new-immigration-blow-to-international-students/,forbes.com,2025-08-28T14:00:00Z,United States,proposed_rule,90.6,scored,16,14,12,1,1,2,5
2359f21b8ccc125e,F - 1 visa : Students to face stricter rules on transfers and post - study stay in US,https://americanbazaaronline.com/2025/08/28/f-1-visa-students-to-face-stricter-rules-on-transfers-and-post-study-stay-in-us-466826/,americanbazaaronline.com,2025-08-28T16:45:00Z,United States,proposed_rule,62.5,scored,7,7,3,3,1,0,4
b1efda29dcbed6e3,Indian students may flee US colleges : Here why tighter visa rules are forcing a rethink,https://timesofindia.indiatimes.com/education/news/indian-students-may-flee-us-colleges-heres-why-tighter-visa-rules-are-forcing-a-rethink/articleshow/123598757.cms,timesofindia.indiatimes.com,2025-08-30T12:45:00Z,India,proposed_rule,,unavailable,0,0,0,0,0,0,0
6d40b2196b44f01e,DHS proposes major overhaul of international student and exchange visitor visas – NaturalNews . com,https://www.naturalnews.com/2025-08-31-dhs-overhaul-international-student-exchange-visitor-visas.html,naturalnews.com,2025-09-01T04:15:00Z,United States,proposed_rule,96.4,scored,12,12,11,1,0,0,3
b5e564589c6021a7,"The Academic Advisor - Education Law Insights , Issue 7 , 2025 | Spilman Thomas & Battle , PLLC",https://www.jdsupra.com/legalnews/the-academic-advisor-education-law-4236213/,jdsupra.com,2025-09-25T04:00:00Z,United States,comment_deadline,,not_scored,2,0,0,0,0,2,2
ea2038472c019f65,American Sociological Association Opposes DHS Proposal to Eliminate Duration of Status for International Students,https://www.newswise.com/articles/american-sociological-association-opposes-dhs-proposal-to-eliminate-duration-of-status-for-international-students,newswise.com,2025-09-25T16:45:00Z,United States,comment_deadline,50.0,scored,3,3,0,3,0,0,3
09b09e28efee3db8,Higher education bodies urge DHS to scrap proposed rule that limits duration of student visas ; warn of damage to US global talent pipeline,https://timesofindia.indiatimes.com/world/us/higher-education-bodies-urge-dhs-to-scrap-proposed-rule-that-limits-duration-of-student-visas-warn-of-damage-to-us-global-talent-pipeline/articleshow/124230917.cms,timesofindia.indiatimes.com,2025-09-30T10:15:00Z,India,comment_deadline,75.0,scored,3,2,1,1,0,1,2
21b8f78374b09148,"US Tightens Student Visa Rules , Four - Year Stay Limit Proposed for F - 1 Visa Holders – GOA – 16 July 2026",https://www.heraldgoa.in/goa/us-tightens-student-visa-rules-four-year-stay-limit-proposed-for-f-1-visa-holders/482032/,heraldgoa.in,2026-07-16T17:45:00Z,India,final_rule,84.6,scored,11,10,7,2,1,1,8
6190b0444c6018fe,"US limits stay of foreign students , journalists",https://pajhwok.com/2026/07/17/us-limits-stay-of-foreign-students-journalists/,pajhwok.com,2026-07-17T05:15:00Z,Afghanistan,final_rule,100.0,scored,9,7,7,0,0,2,5
718451c5503cdb9a,Homeland Security caps international student stay to four years,https://www.dailycardinal.com/article/2026/07/homeland-security-caps-international-student-stay-to-four-years,dailycardinal.com,2026-07-17T05:30:00Z,United States,final_rule,70.0,scored,9,9,4,5,0,0,6
592d184def3b872a,US caps foreign student stay at four years under new visa rules,https://scroll.in/latest/1094340/us-caps-foreign-students-stay-at-four-years-under-new-visa-rules,scroll.in,2026-07-17T06:15:00Z,India,final_rule,88.5,scored,11,11,9,2,0,0,2
d38d6710ad7bf98e,Donald Trump to curtail student and journalist visas under new policy,https://www.travelextra.ie/donald-trump-to-curtail-student-and-journalist-visas-under-new-policy/,travelextra.ie,2026-07-18T07:15:00Z,Ireland,final_rule,76.9,scored,11,11,8,2,1,0,5
65a2e61fa19416e7,What does the new F - 1 visa rule mean for Indian students in the US ? Expert reveals,https://www.hindustantimes.com/nri/what-does-the-new-f-1-visa-rule-mean-for-indian-students-in-the-us-expert-reveals-101784395412876.html,hindustantimes.com,2026-07-18T18:15:00Z,India,final_rule,100.0,scored,4,4,4,0,0,0,1
de5a27e8831b88a5,US Visa Cap : 4 - Year Limit May Disrupt Student Degrees,https://www.newkerala.com/news/a/us-student-visa-rule-may-disrupt-degrees-954.htm,newkerala.com,2026-07-20T06:30:00Z,India,final_rule,66.7,scored,5,3,1,2,0,2,5
6efdbd337e897159,US F - 1 visa rule change : Students abroad advised to return before September 15,https://www.moneycontrol.com/world/us-f-1-visa-rule-change-students-abroad-advised-to-return-before-september-15-article-13979140.html,moneycontrol.com,2026-07-21T05:15:00Z,India,final_rule,,no_policy_claims,0,0,0,0,0,0,0
6106154cd96d400d,US urges foreign students to return before Sept 15 ahead of new visa rule | Indiablooms - First Portal on Digital News Management,https://www.indiablooms.com/world/us-urges-foreign-students-to-return-before-sept-15-ahead-of-new-visa-rule/details,indiablooms.com,2026-07-21T19:45:00Z,India,final_rule,85.7,scored,7,7,5,2,0,0,2
865b6f64b98a7c95,Party Over for Foreigners at College,https://townhall.com/columnists/johnandandyschlafly/2026/07/22/partys-over-for-foreigners-at-college-n2679890,townhall.com,2026-07-22T04:30:00Z,United States,final_rule,70.0,scored,8,5,3,1,1,3,4
a04e3cef0a75d9cf,International students get last - minute relief for DHS rule,https://americanbazaaronline.com/2026/09/21/international-students-get-last-minute-relief-for-dhs-rule-488530/,americanbazaaronline.com,2026-09-21T20:00:00Z,United States,injunction,100.0,scored,4,4,4,0,0,0,1
